symbol,entry_time,exit_time,direction,entry_price,stop_loss,take_profit,exit_price,lot_size,sl_pips,PnL_pips,PnL_$,result
USDCHFm,2025-05-08 06:00:00,2025-05-08 08:00:00,long,0.82715,0.8256377758175383,0.8301744483649236,0.8256377758175383,0.16,15.12,-15.12,-24.2,loss
USDCHFm,2025-05-12 03:00:00,2025-05-12 07:00:00,long,0.83336,0.8315525921664088,0.8369748156671825,0.8369748156671825,0.13,18.07,36.15,46.99,win
USDCHFm,2025-05-12 04:00:00,2025-05-12 07:00:00,long,0.83398,0.8323810154321084,0.8371779691357834,0.8371779691357834,0.15,15.99,31.98,47.97,win
USDCHFm,2025-05-12 07:00:00,2025-05-12 08:00:00,long,0.84532,0.8418626322500715,0.8522347354998568,0.8418626322500715,0.07,34.57,-34.57,-24.2,loss
USDCHFm,2025-05-15 06:00:00,2025-05-15 07:00:00,short,0.8371,0.8386572385039692,0.8339855229920614,0.8386572385039692,0.16,15.57,-15.57,-24.92,loss
USDCHFm,2025-05-19 06:00:00,2025-05-20 00:00:00,short,0.83417,0.8357924029119805,0.8309251941760388,0.8357924029119805,0.15,16.22,-16.22,-24.34,loss
USDCHFm,2025-05-21 03:00:00,2025-05-21 08:00:00,short,0.82259,0.8255958426622019,0.8165783146755964,0.8255958426622019,0.08,30.06,-30.06,-24.05,loss
USDCHFm,2025-05-29 06:00:00,2025-05-29 10:00:00,long,0.83102,0.8281772931178879,0.8367054137642241,0.8281772931178879,0.08,28.43,-28.43,-22.74,loss
USDCHFm,2025-06-02 08:00:00,2025-06-03 09:00:00,short,0.81766,0.8193309640568106,0.814318071886379,0.8193309640568106,0.14,16.71,-16.71,-23.39,loss
USDCHFm,2025-06-12 03:00:00,2025-06-12 09:00:00,short,0.81652,0.8179806501638441,0.8135986996723118,0.8135986996723118,0.17,14.61,29.21,49.66,win
USDCHFm,2025-06-12 04:00:00,2025-06-12 09:00:00,short,0.81689,0.8184361984576275,0.813797603084745,0.813797603084745,0.16,15.46,30.92,49.48,win
USDCHFm,2025-06-12 05:00:00,2025-06-12 06:00:00,short,0.81574,0.8174695041530525,0.812280991693895,0.8174695041530525,0.14,17.3,-17.3,-24.21,loss
USDCHFm,2025-06-13 11:00:00,2025-06-15 21:00:00,long,0.81286,0.8104712846571659,0.8176374306856683,0.8104712846571659,0.1,23.89,-23.89,-23.89,loss
USDCHFm,2025-06-24 11:00:00,2025-06-24 14:00:00,short,0.80852,0.8096812460151714,0.8061975079696572,0.8061975079696572,0.21,11.61,23.22,48.77,win
USDCHFm,2025-06-24 12:00:00,2025-06-24 14:00:00,short,0.8082,0.8096143341927745,0.8053713316144511,0.8053713316144511,0.17,14.14,28.29,48.09,win
USDCHFm,2025-06-26 08:00:00,2025-06-26 11:00:00,short,0.79944,0.8008854156404646,0.796549168719071,0.8008854156404646,0.17,14.45,-14.45,-24.57,loss
USDCHFm,2025-06-27 12:00:00,2025-06-27 13:00:00,short,0.79633,0.7977928199847458,0.7934043600305083,0.7977928199847458,0.17,14.63,-14.63,-24.87,loss
USDCHFm,2025-07-01 09:00:00,2025-07-01 12:00:00,short,0.78815,0.7895985316552051,0.7852529366895898,0.7895985316552051,0.17,14.49,-14.49,-24.63,loss
