symbol,entry_time,exit_time,direction,entry_price,stop_loss,take_profit,exit_price,lot_size,sl_pips,PnL_pips,PnL_$,result
AUDUSDm,2025-05-08 06:00:00,2025-05-08 10:00:00,short,0.64098,0.6424703700034715,0.637999259993057,0.6424703700034715,0.16,14.9,-14.9,-23.85,loss
AUDUSDm,2025-05-12 10:00:00,2025-05-12 13:00:00,short,0.63845,0.639773089333569,0.6358038213328618,0.639773089333569,0.18,13.23,-13.23,-23.82,loss
AUDUSDm,2025-05-13 12:00:00,2025-05-13 15:00:00,long,0.64297,0.6410127159151016,0.646884568169797,0.646884568169797,0.12,19.57,39.15,46.97,win
AUDUSDm,2025-05-16 09:00:00,2025-05-16 14:00:00,short,0.64192,0.6430739459297456,0.6396121081405088,0.6396121081405088,0.21,11.54,23.08,48.47,win
AUDUSDm,2025-05-19 08:00:00,2025-05-19 14:00:00,long,0.64333,0.6423777556874665,0.6452344886250669,0.6452344886250669,0.26,9.52,19.04,49.52,win
AUDUSDm,2025-05-19 09:00:00,2025-05-20 04:00:00,long,0.64458,0.6432493468099945,0.6472413063800112,0.6432493468099945,0.18,13.31,-13.31,-23.95,loss
AUDUSDm,2025-05-20 12:00:00,2025-05-20 16:00:00,short,0.63969,0.6414175854966805,0.636234829006639,0.6414175854966805,0.14,17.28,-17.28,-24.19,loss
AUDUSDm,2025-05-22 12:00:00,2025-05-23 02:00:00,short,0.64211,0.6432353775923075,0.6398592448153848,0.6432353775923075,0.22,11.25,-11.25,-24.76,loss
AUDUSDm,2025-05-23 07:00:00,2025-05-23 12:00:00,long,0.64524,0.6438635862412947,0.6479928275174107,0.6438635862412947,0.18,13.76,-13.76,-24.78,loss
AUDUSDm,2025-05-29 12:00:00,2025-05-29 13:00:00,long,0.64555,0.644377522581584,0.6478949548368319,0.644377522581584,0.21,11.72,-11.72,-24.62,loss
AUDUSDm,2025-06-02 07:00:00,2025-06-03 02:00:00,long,0.64815,0.6468097677337589,0.6508304645324823,0.6468097677337589,0.18,13.4,-13.4,-24.12,loss
AUDUSDm,2025-06-05 11:00:00,2025-06-05 12:00:00,long,0.65088,0.6500855532715035,0.652468893456993,0.652468893456993,0.31,7.94,15.89,49.26,win
AUDUSDm,2025-06-05 12:00:00,2025-06-05 13:00:00,long,0.65174,0.6508179585477948,0.6535840829044104,0.6535840829044104,0.27,9.22,18.44,49.79,win
AUDUSDm,2025-06-10 06:00:00,2025-06-10 08:00:00,short,0.64987,0.6505793198259012,0.6484513603481974,0.6505793198259012,0.35,7.09,-7.09,-24.83,loss
AUDUSDm,2025-06-11 03:00:00,2025-06-11 12:00:00,short,0.65142,0.6521980039266757,0.6498639921466486,0.6521980039266757,0.32,7.78,-7.78,-24.9,loss
AUDUSDm,2025-06-11 12:00:00,2025-06-11 13:00:00,long,0.65285,0.6520726432501651,0.6544047134996699,0.6520726432501651,0.32,7.77,-7.77,-24.88,loss
AUDUSDm,2025-06-19 05:00:00,2025-06-19 20:00:00,short,0.64669,0.6480591571161894,0.6439516857676211,0.6480591571161894,0.18,13.69,-13.69,-24.64,loss
AUDUSDm,2025-06-23 03:00:00,2025-06-23 06:00:00,short,0.64029,0.6421461506013625,0.6365776987972751,0.6421461506013625,0.13,18.56,-18.56,-24.13,loss
AUDUSDm,2025-06-24 04:00:00,2025-06-26 08:00:00,long,0.64954,0.6471643996710137,0.6542912006579726,0.6542912006579726,0.1,23.76,47.51,47.51,win
AUDUSDm,2025-06-24 05:00:00,2025-06-26 08:00:00,long,0.64961,0.647460702517022,0.653908594965956,0.653908594965956,0.11,21.49,42.99,47.28,win
AUDUSDm,2025-06-24 06:00:00,2025-06-24 07:00:00,long,0.65095,0.6490693599113956,0.6547112801772089,0.6490693599113956,0.13,18.81,-18.81,-24.45,loss
AUDUSDm,2025-06-26 03:00:00,2025-06-26 05:00:00,long,0.65322,0.6519926218419391,0.6556747563161219,0.6519926218419391,0.2,12.27,-12.27,-24.55,loss
